t;x;y;z;Aceleracao_0;Aceleracao_1;Aceleracao_2
11,968;0,000153109;0,451670442;706,3149516;1,36E-06;9,81;-5,49E-07
12,032;0,000155555;0,454087876;713,8691223;1,19E-06;9,81;-5,49E-07
12,096;0,000158005;0,456505308;721,4634748;1,03E-06;9,81;-5,49E-07
12,16;0,000160458;0,458922738;729,0980091;8,61E-07;9,81;-5,49E-07
12,224;0,000162914;0,461340165;736,7727251;6,96E-07;9,81;-5,49E-07
12,288;0,000165373;0,46375759;744,4876229;5,32E-07;9,81;-5,49E-07
12,352;0,000167832;0,466175013;752,2427024;3,70E-07;9,81;-5,50E-07
12,416;0,000170293;0,468592434;760,0379637;2,09E-07;9,81;-5,50E-07
12,48;0,000172754;0,471009852;767,8734068;5,16E-08;9,81;-5,50E-07
12,544;0,000175214;0,473427268;775,7490316;-1,03E-07;9,81;-5,50E-07
12,608;0,000176694;0,475840825;783,6648382;-0,000239516;9,81;-0,00094229
12,672;0,000181821;0,47826474;791,6208265;0,000890566;9,80999999;0,002528899
12,736;0,000187213;0,480688833;799,6169966;6,47E-05;9,81;4,36E-05
12,8;0,000192888;0,483113054;807,6533485;6,90E-05;9,81;3,11E-05
12,864;0,000198863;0,485537363;815,7298821;7,32E-05;9,81;2,17E-05
12,928;0,000205154;0,487961735;823,8465975;7,74E-05;9,81;1,54E-05
12,992;0,000211781;0,490386154;832,0034946;8,18E-05;9,81;1,12E-05
13,056;0,000218761;0,492810606;840,2005735;8,64E-05;9,81;8,29E-06
13,12;0,000226115;0,495235084;848,4378342;9,12E-05;9,81;6,20E-06
13,184;0,000233863;0,49765958;856,7152766;9,62E-05;9,81;4,65E-06
13,248;0,000242026;0,500084091;865,0329008;0,000101495;9,81;3,44E-06
13,312;0,000250628;0,502508636;873,3907067;0,000107029;9,81;8,24E-06
13,376;0,000259691;0,504933483;881,7886944;0,000112618;9,81;7,40E-05
13,44;0,000269241;0,507358655;890,2268639;0,000118709;9,81;7,90E-05
13,504;0,000279302;0,509784169;898,7052151;0,000125112;9,81;8,38E-05
13,568;0,000289904;0,512210047;907,2237481;0,000131848;9,81;8,87E-05
13,632;0,000301075;0,514636309;915,7824629;0,00013894;9,81;9,37E-05
13,696;0,000312846;0,517062976;924,3813594;0,00014641;9,81;9,90E-05
13,76;0,000325249;0,519490071;933,0204376;0,000154285;9,81;0,000104533
13,824;0,000338317;0,521917619;941,6996976;0,000162592;9,81;0,000110327
13,888;0,000352088;0,524345643;950,4191394;0,000171359;9,81;0,000116427
13,952;0,000366598;0,526774171;959,178763;0,000180618;9,81;0,000122859
14,016;0,000381888;0,529203229;967,9785683;0,000190398;9,81;0,000129647
14,08;0,000398001;0,531632848;976,8185553;0,000200732;9,81;0,000136814
14,144;0,00041498;0,534063058;985,6987241;0,000211653;9,81;0,000144385
14,208;0,000432873;0,536493893;994,6190747;0,000223196;9,81;0,000152384
14,272;0,000451731;0,538925386;1003,579607;0,000235396;9,81;0,000160837
14,336;0,000471606;0,541357575;1012,580321;0,000248289;9,81;0,000169773
14,4;0,000492553;0,543790498;1021,621217;0,000261912;9,81;0,000179219
14,464;0,000514632;0,546224195;1030,702295;0,000276305;9,81;0,000189205
14,528;0,000537906;0,548658711;1039,823554;0,000291506;9,81;0,000199765
14,592;0,000562439;0,551094091;1048,984995;0,00030756;9,81;0,000210933
14,656;0,000588301;0,553530383;1058,186618;0,000324509;9,81;0,000222743
14,72;0,000615566;0,555967639;1067,428423;0,000342402;9,81;0,000235236
14,784;0,00064431;0,558405913;1076,710409;0,000361287;9,81;0,00024845
14,848;0,000674616;0,560845261;1086,032577;0,000381218;9,81;0,000262431
14,912;0,000706553;0,563285724;1095,394927;0,000398322;9,81;0,000272051
14,976;0,000740101;0,565727221;1104,797459;0,000393104;9,81;0,000252467
15,04;0,000775359;0,568169833;1114,240172;0,000417548;9,81;0,000272412
15,104;0,000812426;0,570613637;1123,723068;0,000441589;9,81;0,000290897
15,168;0,0008514;0,573058706;1133,246145;0,000465755;9,81;0,000308693
15,232;0,000892383;0,575505111;1142,809403;0,000490418;9,81;0,000326343
15,296;0,000935479;0,577952926;1152,412844;0,000515843;9,81;0,000344209
15,36;0,000980796;0,580402226;1162,056466;0,000542221;9,81;0,000362542
15,424;0,001028447;0,582853089;1171,74027;0,000569703;9,81;0,000381521
15,488;0,001078548;0,585305596;1181,464256;0,000598408;9,81;0,000401278
15,552;0,001131224;0,58775983;1191,228424;0,00062844;9,81;0,000421918
15,616;0,001186603;0,590215882;1201,032773;0,00065989;9,81;0,000443526
15,68;0,001244819;0,592673842;1210,877304;0,000692843;9,81;0,000466179
15,744;0,001306015;0,59513381;1220,762017;0,000727382;9,81;0,000489944
15,808;0,001370339;0,597595887;1230,686911;0,000763675;9,81;0,000515012
15,872;0,001437946;0,600060181;1240,651988;0,000801741;9,81;0,000541355
15,936;0,001509001;0,602526806;1250,657246;0,000841556;9,81;0,000568904
16;0,001583674;0,604995879;1260,702686;0,000883276;9,809999999;0,000597832
16,064;0,001662143;0,607467526;1270,788307;0,000926982;9,809999999;0,000628207
